Documento: ejemplos/doc1.txt
Idx	Termino	TF	IDF	TF-IDF

Documento: ejemplos/doc2.txt
Idx	Termino	TF	IDF	TF-IDF

Documento: ejemplos/document-01.txt
Idx	Termino	TF	IDF	TF-IDF
0	a	23	0.262364	6.03438
1	about	9	0.262364	2.36128
4	acceptance	1	0.262364	0.262364
5	accepted	1	2.56495	2.56495
8	across	1	0.262364	0.262364
11	afraid	2	1.17865	2.35731
13	again	1	0.485508	0.485508
14	against	1	1.17865	1.17865
15	ahead	1	1.17865	1.17865
16	air	4	0.262364	1.04946
17	alive	2	0.485508	0.971016
18	all	4	0.485508	1.94203
19	allowed	1	0.485508	0.485508
20	almost	1	0.955511	0.955511
22	along	1	1.17865	1.17865
23	already	1	1.8718	1.8718
25	always	1	0.367725	0.367725
28	an	1	0.619039	0.619039
30	and	21	0.262364	5.50965
31	another	1	0.955511	0.955511
34	anything	2	1.46634	2.93267
41	as	5	0.262364	1.31182
42	ask	1	1.46634	1.46634
44	asleep	1	1.8718	1.8718
45	at	1	0.262364	0.262364
46	attention	2	0.262364	0.524729
50	back	3	0.262364	0.787093
51	balance	1	0.367725	0.367725
54	be	1	0.262364	0.262364
55	beautiful	1	0.367725	0.367725
56	beauty	1	0.262364	0.262364
58	because	2	0.77319	1.54638
60	before	2	0.367725	0.73545
61	began	2	0.262364	0.524729
62	beginning	1	1.8718	1.8718
65	being	1	1.8718	1.8718
67	bend	1	2.56495	2.56495
69	beneath	1	0.262364	0.262364
73	birds	1	0.262364	0.262364
76	both	1	1.46634	1.46634
80	branch	2	1.17865	2.35731
83	breathe	1	1.17865	1.17865
84	breathing	1	1.17865	1.17865
93	brushing	1	0.77319	0.77319
94	busier	1	2.56495	2.56495
97	but	14	0.262364	3.6731
98	by	4	0.262364	1.04946
100	calm	1	0.262364	0.262364
104	care	1	0.367725	0.367725
105	cared	1	2.56495	2.56495
109	carried	2	0.262364	0.524729
110	carry	1	2.56495	2.56495
113	caught	2	0.77319	1.54638
132	closed	1	0.262364	0.262364
137	come	1	1.17865	1.17865
138	comforting	1	1.8718	1.8718
144	connected	1	0.77319	0.77319
149	cool	1	0.485508	0.485508
152	could	3	0.262364	0.787093
153	couldn	1	1.46634	1.46634
155	covered	1	2.56495	2.56495
156	crisp	1	1.8718	1.8718
161	currents	1	0.367725	0.367725
